stop_reason,stops,success,yield,contraband_discoveries
22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167,16684,249,0.0149,213
23123.5(A) VC - NO HND HLD DEVICE W/DRIVE (I) 54655,13715,9,0.0007,2
22349(A) VC - EXCEED SPEED ON HIGHWAY (I) 54303,10483,48,0.0046,22
65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002,10007,401,0.0401,389
4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657,8105,468,0.0577,256
22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106,6983,91,0.013,71
21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146,6696,22,0.0033,7
21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098,6089,102,0.0168,85
26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571,5522,227,0.0411,220
Probable cause to take into custody under Welfare and Institutions Code section 5150,5036,115,0.0228,79
5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644,4841,227,0.0469,193
NA - XX AA - COMMUNITY CARETAKING (X) 99990,4128,134,0.0325,118
NA - XX AA - CODE NOT FOUND IN TABLE (X) 99999,3531,203,0.0575,200
65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000,3224,194,0.0602,185
Knowledge of outstanding arrest warrant/wanted person,3212,656,0.2042,627
24252(A)(1) VC - FAIL MAINT VEH LITE EQUIP (I) 66967,3071,106,0.0345,96
647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,2981,119,0.0399,107
5204(A) VC - EXPIRED TABS/FAIL DISPLAY (I) 54168,2703,81,0.03,61
647(E) PC - DIS CON:LODGE W/O CONSENT (M) 32111,2260,191,0.0845,187
38170(B) VC - LICENSE PLATE NOT VISIBLE (I) 66880,2047,35,0.0171,32
23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566,1936,11,0.0057,10
4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099,1784,103,0.0577,84
25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063,1704,555,0.3257,553
11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423,1689,828,0.4902,827
21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141,1665,163,0.0979,159
243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174,1524,68,0.0446,46
11550 HS - UNDER INFLUENCE CNTL SUB (M) 35143,1484,331,0.223,329
38301.5 VC - VIOL LOCAL ORD 38301 (I) 66886,1479,94,0.0636,92
22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115,1443,76,0.0527,62
24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191,1418,31,0.0219,25
24600 VC - TAILLAMP VIOLATIONS (I) 54193,1402,23,0.0164,19
27150(A) VC - INADEQUATE MUFFLERS (I) 54116,1328,23,0.0173,19
23152(A) VC - DUI ALCOHOL (M) 42104,1258,219,0.1741,111
Investigation to determine whether the person was truant,1195,70,0.0586,62
Known to be on Parole / Probation / PRCS / Mandatory Supervision,1189,227,0.1909,220
459 PC - BURGLARY (F) 22004,1143,152,0.133,146
1460(B) SH - CHG ENCRCHMNT W/O PERMIT (M) 66134,1135,38,0.0335,37
21453(C) VC - FAIL STOP LINE/ETC AT RED (I) 54373,1111,19,0.0171,16
602(M) PC - TRESPASS:OCC PROP W/O CON (M) 32100,1092,58,0.0531,57
21457(A) VC - FAIL STOP:FLASH RED LIGHT (I) 54122,1050,16,0.0152,13
245(A)(1) PC - ADW NOT FIREARM (F) 13219,1042,173,0.166,166
21651(A)(1) VC - DRV HWY ACROSS DIV SECTN (I) 66943,1039,2,0.0019,1
417(A)(1) PC - EXHIBIT DEADWPN:NOT F/ARM (M) 52136,946,164,0.1734,158
602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102,933,58,0.0622,53
273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080,898,45,0.0501,29
21658(A) VC - UNSAFE LANE CHANGE/ETC (I) 54178,860,25,0.0291,23
415(1) PC - FIGHT IN PUBLIC PLACE (M) 53072,795,31,0.039,30
22101(D) VC - FAIL TO OBEY TURN SIGNS (I) 54185,787,2,0.0025,0
10851(A) VC - VEHICLE THEFT (F) 24054,755,156,0.2066,146
27315(D)(1) VC - SEATBELT VIOLATION (I) 66985,742,22,0.0296,19
24600(B) VC - TAILLAMP VIOL 2 LIGHTS (I) 66424,719,11,0.0153,10
211 PC - ROBBERY (F) 12004,709,141,0.1989,138
243(A) PC - BATTERY ON PERSON (M) 13082,675,30,0.0444,29
10852 VC - TAMPER WITH VEHICLE (M) 29050,647,73,0.1128,72
24601 VC - FAIL MAINT LIC PLATE LAMP (I) 54110,624,38,0.0609,37
38170(C) VC - LICENSE PLATE NONCOMPLNT (I) 66881,597,10,0.0168,9
242 PC - BATTERY ON PERSON (M) 13048,585,21,0.0359,18
21655.5(B) VC - FAIL OBEY TRAF LANE SIGN (I) 54504,564,1,0.0018,1
11532(A) HS - LOITR PUBLIC:ILL DRUG ACT (M) 35349,553,271,0.4901,271
24400(B) VC - HEADLAMP VIOL DARK/WEATHR (I) 66412,545,14,0.0257,12
273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025,519,22,0.0424,15
5201(C) VC - UNLAW LIC PLATE COVERING (I) 54788,488,6,0.0123,5
Consensual Encounter resulting in a search,478,126,0.2636,117
4464 VC - DISPLAY ALTERED LIC PLATE (I) 54338,472,26,0.0551,25
21651(B) VC - DRIVE WRONG WAY:DIV HWY (M) 54075,468,20,0.0427,18
594(A)(1) PC - VANDALISM:DEFACE PROPERTY (F) 29111,462,55,0.119,51
484(A) PC - PETTY THEFT (M) 23087,459,83,0.1808,80
602(L)(1) PC - TRESP REF LEAVE BY ORDER (M) 32139,418,27,0.0646,27
21650.1 VC - OPR BIKE:RD/ETC:WRONG WAY (I) 54088,411,63,0.1533,63
245(A)(4) PC - ADW/FORCE:POSSIBLE GBI (F) 13217,401,26,0.0648,24
21209(A) VC - MOTOR VEH IN BIKE LANE (I) 66938,398,3,0.0075,2
415(2) PC - LOUD/UNREASONABLE NOISE (I) 53130,377,19,0.0504,15
24603(B) VC - STOPLAMPS VIOL:SPEC VEH (I) 54144,377,12,0.0318,10
11550(A) HS - UNDER INFLUENCE CNTL SUB (M) 35212,374,73,0.1952,71
23222(A) VC - POSS OPEN CONTAINER:DRIVE (I) 54090,373,65,0.1743,65
26708(A)(2) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54614,372,9,0.0242,8
647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005 | 647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005,369,17,0.0461,17
242 PC - BATTERY (M) 13045,367,8,0.0218,7
594(A)(1) PC - VANDALISM:DEFACE PROPERTY (M) 29110,366,30,0.082,29
22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306,361,11,0.0305,7
4454(A) VC - NO REGISTRATION IN VEH (I) 54208,361,4,0.0111,2
10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067,358,55,0.1536,53
NA - XX AA - COMMUNITY CARETAKING (X) 99990 | NA - XX AA - COMMUNITY CARETAKING (X) 99990,352,15,0.0426,12
24603(A) VC - STOPLAMPS:VEH MUST HAVE (I) 54574,350,9,0.0257,8
314(1) PC - INDECENT EXPOSURE (M) 36343,347,22,0.0634,21
240/242 PC - ASSAULT & BATTERY (M) 13039,345,22,0.0638,20
24400(A) VC - HEADLMP OPR/AMT/SIZE VIOL (I) 66968,345,8,0.0232,6
27151(A) VC - ILL MOD EXHAUST SYS:NOISE (I) 66983,339,1,0.0029,1
38300 VC - DISOBEY SIGN/SGNL/TRF DVC (I) 66882,332,0,0.0,0
415(1) PC - FIGHT/ETC IN PUBLIC PLACE (I) 53131,322,14,0.0435,13
22100(B) VC - LEFT TURN INTERSECTN VIOL (I) 54319,313,4,0.0128,3
602(A) PC - TRESP:DESTROY STAND TIMBR (M) 32023,306,10,0.0327,9
5200(B) VC - DISPLY ONE LIC PLATE WRNG (I) 54645,295,11,0.0373,8
11377(A) HS - POSSESS CNTL SUB (M) 35353,293,159,0.5427,159
12500(A) VC - DRIVE W/O LICENSE (I) 42127,292,6,0.0205,4
555.2 PC - LOITER POSTED PROPERTY (M) 32017,290,26,0.0897,25
23103(A) VC - RECKLESS DRIVING:HIGHWAY (M) 54086,284,27,0.0951,15
5201(A) VC - LICENS PLATE POSITION VIO (I) 54234,278,16,0.0576,12
21657 VC - DISOBEY TRAFFIC DIRECTION (I) 54161,274,19,0.0693,7
148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122,265,28,0.1057,26
22356(B) VC - EXCEED POSTED SPEED LIMIT (I) 54370,265,8,0.0302,7
21755(A) VC - USE SHLDER/ETC PASS RIGHT (I) 66947,265,0,0.0,0
21456.2(A) VC - BICYCLE OPR OBEY VEH LAWS (I) 54522,258,20,0.0775,19
